id_client,first_day,last_day,frequency,interval,recency,monetary
12471,2020-12-10 09:35:00,2021-12-07 15:43:00,30,362,23,19824.05
12731,2020-12-10 10:56:00,2021-11-16 11:59:00,12,341,44,18895.91
15159,2020-12-13 15:44:00,2021-12-08 12:05:00,30,359,22,18641.01
12901,2021-03-14 10:41:00,2021-12-01 10:07:00,28,261,29,17654.54
12678,2020-12-21 11:00:00,2021-10-28 13:04:00,12,311,63,17628.46
14031,2020-12-02 16:34:00,2021-12-02 17:13:00,19,365,28,17286.86
17428,2020-12-06 09:37:00,2021-12-09 09:45:00,28,368,21,17256.85
13767,2020-12-01 10:47:00,2021-12-07 15:00:00,37,371,23,17220.36
13881,2021-02-01 10:14:00,2021-12-06 12:50:00,20,308,24,17159.52
16839,2020-12-05 11:15:00,2021-12-01 09:03:00,34,360,29,16594.35
12921,2020-12-01 15:06:00,2021-11-30 16:22:00,37,364,30,16587.09
14607,2021-03-23 15:22:00,2021-11-24 10:35:00,14,245,36,16569.5
15856,2020-12-09 13:34:00,2021-12-05 17:09:00,27,361,25,16387.57
17677,2020-12-06 08:42:00,2021-12-08 09:56:00,30,367,22,16363.23
15189,2021-01-11 12:29:00,2021-12-08 13:22:00,41,331,22,16225.39
14051,2020-12-08 12:49:00,2021-12-09 10:20:00,23,365,21,15610.39
15513,2020-12-01 11:22:00,2021-11-06 14:36:00,19,340,54,14758.220000000001
16133,2021-01-25 15:55:00,2021-12-06 11:24:00,33,314,24,14589.039999999999
14866,2020-12-08 14:58:00,2021-11-29 11:45:00,12,355,31,14389.900000000001
16705,2020-12-16 10:51:00,2021-12-09 12:08:00,20,358,21,14034.99
12681,2020-12-07 10:08:00,2021-11-25 11:33:00,22,353,35,13787.54
12621,2020-12-09 10:16:00,2021-12-08 11:25:00,20,364,22,13689.67
12540,2020-12-13 09:39:00,2021-11-20 11:31:00,17,342,40,13400.24
12433,2020-12-01 13:24:00,2021-12-09 10:02:00,7,372,21,13375.87
15498,2020-12-08 12:29:00,2021-12-07 12:48:00,27,364,23,13316.4
12477,2021-02-11 12:45:00,2021-11-17 09:51:00,6,278,43,13219.74
17735,2020-12-07 10:32:00,2021-12-07 16:47:00,19,365,23,13110.02
16525,2020-12-08 11:31:00,2021-12-07 15:07:00,26,364,23,13027.45
14258,2021-01-06 12:18:00,2021-11-30 15:27:00,9,328,30,12669.98
13078,2020-12-08 09:07:00,2021-12-06 15:36:00,26,363,24,12627.94
12536,2021-10-11 14:52:00,2021-10-27 14:20:00,3,15,64,12601.830000000002
15640,2020-12-02 15:40:00,2021-12-05 14:35:00,15,367,25,12515.66
16000,2021-12-07 12:14:00,2021-12-07 12:17:00,3,0,23,12393.7
17340,2020-12-08 15:56:00,2021-11-10 10:45:00,11,336,50,12353.29
12682,2020-12-03 13:59:00,2021-12-06 10:00:00,31,367,24,12288.22
13113,2020-12-08 13:21:00,2021-12-09 12:49:00,24,365,21,12245.96
14606,2020-12-01 16:57:00,2021-12-08 19:28:00,95,372,22,12156.65
12557,2020-12-03 12:20:00,2021-11-23 16:59:00,5,355,37,11990.96
12939,2021-01-09 11:20:00,2021-10-06 14:33:00,8,270,85,11581.8
15125,2021-03-14 09:59:00,2021-11-14 13:57:00,15,245,46,11528.480000000001
14194,2021-02-04 14:51:00,2021-12-05 10:38:00,22,303,25,11349.52
12971,2020-12-02 16:42:00,2021-12-06 12:20:00,86,368,24,11189.91
14895,2021-02-22 13:08:00,2021-12-02 09:23:00,20,282,28,11138.71
12409,2021-06-10 12:19:00,2021-09-22 10:38:00,3,103,99,11072.67
15482,2020-12-16 10:08:00,2021-11-24 10:46:00,12,343,36,11054.96
17581,2020-12-02 14:47:00,2021-12-09 12:21:00,25,371,21,11045.04
13319,2020-12-09 10:04:00,2021-12-04 13:34:00,26,360,26,10845.55
17107,2021-03-06 15:17:00,2021-11-06 14:14:00,6,244,54,10815.43
13340,2021-03-08 11:39:00,2021-10-25 13:15:00,7,231,66,10736.48
14769,2020-12-17 11:40:00,2021-12-07 10:24:00,9,354,23,10674.75
17139,2021-02-24 09:32:00,2021-11-24 10:12:00,12,273,36,10668.47
16779,2020-12-08 09:56:00,2021-12-07 14:54:00,22,364,23,10629.72
17865,2020-12-10 14:53:00,2021-11-09 12:08:00,20,333,51,10526.32
17706,2020-12-08 11:02:00,2021-12-05 13:34:00,17,362,25,10504.49
15251,2021-04-12 10:38:00,2021-11-30 15:02:00,11,232,30,10484.99
14062,2020-12-10 15:56:00,2021-11-30 10:04:00,12,354,30,10464.85
15615,2020-12-15 16:21:00,2021-11-29 14:42:00,23,348,31,10399.74
15502,2020-12-05 15:40:00,2021-11-24 12:48:00,12,353,36,10384.93
16180,2021-04-01 10:23:00,2021-08-31 16:28:00,8,152,121,10254.18
16843,2021-01-16 16:10:00,2021-10-28 09:06:00,16,284,63,10196.57
12590,2021-05-12 14:46:00,2021-05-12 14:52:00,2,0,232,9864.26
13001,2021-01-17 12:45:00,2021-12-05 14:51:00,13,322,25,9818.82
13199,2020-12-08 10:51:00,2021-12-06 12:30:00,38,363,24,9817.12
15078,2020-12-06 12:38:00,2021-12-02 15:41:00,32,361,28,9743.11
12709,2020-12-08 09:49:00,2021-11-24 15:38:00,15,351,36,9736.52
13458,2020-12-15 12:05:00,2021-12-02 15:29:00,14,352,28,9646.57
14733,2020-12-07 11:30:00,2021-11-23 15:39:00,12,351,37,9585.91
16523,2021-01-28 12:06:00,2021-12-08 09:06:00,21,313,22,9418.47
12567,2020-12-05 11:57:00,2021-11-17 11:02:00,10,346,43,9401.279999999999
14367,2021-03-08 14:12:00,2021-12-01 13:19:00,16,267,29,9261.52
14667,2020-12-06 13:13:00,2021-11-29 11:30:00,25,357,31,9241.199999999999
18092,2020-12-09 10:00:00,2021-12-07 13:14:00,11,363,23,9068.26
13969,2020-12-09 19:32:00,2021-12-02 15:11:00,18,357,28,9053.94
12451,2021-01-19 09:05:00,2021-11-29 08:40:00,5,313,31,9035.52
13488,2020-12-07 13:01:00,2021-11-22 14:41:00,13,350,38,8968.310000000001
13090,2020-12-02 07:48:00,2021-12-01 12:39:00,14,364,29,8910.82
16033,2020-12-05 10:36:00,2021-12-04 12:44:00,20,364,26,8816.4
17017,2020-12-02 10:17:00,2021-12-07 09:32:00,20,369,23,8694.26
17243,2020-12-05 10:03:00,2021-12-08 13:26:00,26,368,22,8676.85
17306,2020-12-21 13:34:00,2021-11-29 12:14:00,19,342,31,8631.31
16656,2020-12-10 11:23:00,2021-11-17 14:43:00,15,342,43,8625.8
14527,2020-12-05 13:17:00,2021-12-07 12:19:00,55,366,23,8508.82
12683,2020-12-09 10:37:00,2021-12-05 16:31:00,15,361,25,8476.57
18139,2021-11-21 14:06:00,2021-11-22 10:44:00,6,0,38,8438.34
15358,2020-12-09 10:04:00,2021-12-05 09:04:00,22,360,25,8347.2
16558,2020-12-08 12:01:00,2021-12-09 10:20:00,20,365,21,8338.49
14056,2021-02-28 15:19:00,2021-12-08 13:36:00,23,282,22,8214.65
14936,2021-03-09 11:53:00,2021-11-06 10:30:00,8,241,54,8137.02
16672,2021-03-18 10:15:00,2021-12-07 16:29:00,20,264,23,8134.9400000000005
13854,2020-12-09 10:48:00,2021-12-01 09:06:00,25,356,29,8109.52
14952,2020-12-10 12:48:00,2021-10-11 10:33:00,11,304,80,8099.49
18109,2020-12-05 10:58:00,2021-12-08 11:36:00,26,368,22,8052.97
14796,2020-12-08 10:40:00,2021-12-08 15:31:00,17,365,22,8022.49
12428,2021-03-01 09:33:00,2021-11-14 08:22:00,9,257,46,7956.46
15290,2020-12-15 16:03:00,2021-12-05 11:39:00,18,354,25,7943.22
14849,2020-12-01 12:22:00,2021-11-18 10:58:00,25,351,42,7930.54
12757,2021-05-12 19:01:00,2021-11-24 12:30:00,13,195,36,7857.1
17811,2021-01-10 10:58:00,2021-12-05 13:46:00,39,329,25,7837.73
13093,2020-12-01 15:00:00,2021-03-09 12:14:00,8,97,296,7832.47
12435,2021-03-17 07:40:00,2021-09-21 09:06:00,2,188,100,7829.889999999999
13629,2021-01-05 12:09:00,2021-11-16 13:21:00,11,315,44,7792.36
15044,2020-12-12 14:27:00,2021-11-20 13:20:00,17,342,40,7700.23
15194,2020-12-06 15:00:00,2021-12-06 15:10:00,15,365,24,7616.53
18172,2021-02-23 10:44:00,2021-11-25 11:12:00,20,275,35,7561.68
13263,2021-01-18 16:31:00,2021-12-08 13:59:00,35,323,22,7454.07
12474,2021-01-14 10:06:00,2021-11-22 14:39:00,18,312,38,7375.79
12980,2020-12-16 11:36:00,2021-07-05 09:34:00,9,200,178,7374.9
15465,2020-12-05 10:12:00,2021-11-20 10:11:00,18,349,40,7354.62
17396,2020-12-03 09:45:00,2021-10-31 14:12:00,8,332,60,7330.8
12583,2020-12-01 08:45:00,2021-12-07 08:07:00,15,370,23,7281.38
13018,2021-02-17 11:05:00,2021-11-23 13:28:00,28,279,37,7277.7
18229,2020-12-01 16:25:00,2021-11-28 09:48:00,20,361,32,7276.9
16923,2020-12-12 11:06:00,2021-11-27 13:00:00,19,350,33,7247.61
16729,2021-04-12 14:22:00,2021-11-01 14:29:00,21,203,59,7239.92
16745,2021-02-01 11:31:00,2021-09-14 11:58:00,17,225,107,7194.3
16873,2020-12-10 15:45:00,2021-12-05 12:05:00,6,359,25,7123.62
13324,2020-12-14 09:50:00,2021-11-03 16:28:00,10,324,57,7121.95
13985,2021-03-20 13:48:00,2021-12-05 17:06:00,15,260,25,7060.13
14961,2020-12-14 11:38:00,2021-11-29 09:42:00,9,349,31,7044.68
12766,2020-12-08 13:53:00,2021-12-06 08:46:00,7,362,24,6989.63
12798,2021-06-22 10:11:00,2021-11-29 15:52:00,3,160,31,6977.04
12989,2020-12-10 13:24:00,2021-12-06 15:28:00,15,361,24,6924.11
16713,2020-12-08 13:01:00,2021-11-21 12:36:00,15,347,39,6923.13
13027,2020-12-20 12:45:00,2021-08-18 09:39:00,6,240,134,6912.0
16187,2021-02-28 13:34:00,2021-11-08 09:50:00,15,252,52,6911.44
17416,2021-03-03 13:45:00,2021-11-10 12:47:00,7,251,50,6893.42
12705,2020-12-17 15:58:00,2021-11-24 13:17:00,9,341,36,6868.29
12476,2020-12-13 14:39:00,2021-11-24 12:40:00,11,345,36,6816.42
12830,2021-06-21 10:53:00,2021-11-02 11:54:00,6,134,58,6814.64
15023,2020-12-05 13:49:00,2021-12-06 17:23:00,11,366,24,6802.76
18055,2020-12-05 10:52:00,2021-12-02 14:25:00,10,362,28,6784.19
15601,2020-12-02 10:39:00,2021-11-28 15:15:00,14,361,32,6776.5599999999995
16652,2021-03-11 13:13:00,2021-10-12 09:38:00,7,214,79,6773.97
16532,2021-01-05 12:37:00,2021-11-22 11:08:00,3,320,38,6748.8
13576,2020-12-01 17:24:00,2021-11-29 15:34:00,18,362,31,6717.34
16746,2020-12-16 11:43:00,2021-12-05 12:33:00,18,354,25,6697.66
15249,2021-03-28 12:49:00,2021-11-08 11:45:00,13,224,52,6688.46
16353,2020-12-05 12:09:00,2021-12-06 12:23:00,23,366,24,6675.71
17338,2020-12-13 12:57:00,2021-11-22 14:23:00,8,344,38,6643.93
12626,2021-01-17 11:01:00,2021-11-16 16:06:00,9,303,44,6620.48
16182,2021-02-18 10:11:00,2021-09-28 13:23:00,4,222,93,6617.65
15144,2021-01-31 13:17:00,2021-12-01 15:12:00,17,304,29,6580.44
12472,2020-12-05 14:19:00,2021-11-07 14:01:00,7,336,53,6572.11
16814,2020-12-05 11:45:00,2021-11-25 13:27:00,21,355,35,6509.1
12431,2020-12-01 10:03:00,2021-11-04 11:55:00,15,338,56,6487.45
18223,2020-12-16 16:42:00,2021-12-05 09:11:00,14,353,25,6484.54
15694,2020-12-02 07:49:00,2021-12-09 09:44:00,14,372,21,6479.4
13225,2020-12-13 09:49:00,2021-12-06 13:29:00,7,358,24,6463.84
13102,2020-12-09 13:38:00,2021-12-08 12:52:00,24,363,22,6424.09
13871,2021-02-04 09:30:00,2021-11-17 10:49:00,13,286,43,6403.25
12359,2021-01-12 12:43:00,2021-10-13 12:47:00,4,274,78,6372.58
13668,2020-12-12 12:35:00,2021-12-07 12:11:00,21,359,23,6363.59
13709,2021-01-28 14:57:00,2021-12-06 10:28:00,13,311,24,6328.05
15005,2020-12-08 14:36:00,2021-11-24 12:25:00,29,350,36,6316.57
17315,2020-12-17 12:24:00,2021-12-08 12:15:00,38,355,22,6292.26
16126,2021-02-16 11:18:00,2021-11-10 16:03:00,4,267,50,6287.77
14057,2020-12-14 12:11:00,2021-11-16 10:32:00,17,336,44,6217.96
12357,2021-11-06 16:07:00,2021-11-06 16:07:00,1,0,54,6207.67
14060,2020-12-02 12:11:00,2021-12-05 12:29:00,19,368,25,6140.42
13418,2020-12-02 10:45:00,2021-11-28 10:23:00,18,360,32,6127.43
17509,2021-10-07 13:14:00,2021-10-13 10:26:00,8,5,78,6115.14
15939,2021-01-12 12:43:00,2021-09-11 11:30:00,15,241,110,6115.01
14735,2020-12-16 16:05:00,2021-12-06 12:09:00,32,354,24,6065.6900000000005
12637,2021-01-20 10:47:00,2021-10-03 13:46:00,9,256,88,6021.900000000001
13097,2020-12-14 15:13:00,2021-11-07 10:43:00,10,327,53,6010.42
13316,2021-03-30 13:01:00,2021-11-02 13:40:00,4,217,58,5977.73
14101,2021-01-17 13:09:00,2021-09-27 12:28:00,6,252,94,5976.79
15382,2021-02-17 12:01:00,2021-11-25 10:58:00,6,280,35,5955.71
14505,2020-12-12 16:14:00,2021-11-22 15:45:00,8,344,38,5905.64
14415,2020-12-14 13:31:00,2021-12-08 14:38:00,13,359,22,5900.280000000001
14944,2021-02-16 12:47:00,2021-11-10 09:10:00,12,266,50,5900.25
13209,2020-12-13 10:31:00,2021-11-09 13:54:00,8,331,51,5891.610000000001
13534,2020-12-16 15:23:00,2021-12-07 14:52:00,25,355,23,5870.08
13050,2020-12-08 09:30:00,2021-11-25 09:18:00,17,351,35,5836.86
12720,2020-12-05 15:21:00,2021-12-07 08:03:00,25,366,23,5781.73
15218,2021-01-25 11:20:00,2021-11-29 11:48:00,11,308,31,5756.89
17686,2021-02-10 10:18:00,2021-12-02 15:39:00,7,295,28,5739.46
13178,2020-12-14 12:22:00,2021-11-13 16:14:00,11,334,47,5725.47
16553,2020-12-14 13:58:00,2021-06-29 15:42:00,12,197,184,5719.82
13468,2020-12-01 15:08:00,2021-12-08 10:39:00,38,371,22,5704.97
14110,2021-03-18 09:59:00,2021-12-06 12:26:00,12,263,24,5683.15
14049,2021-01-26 11:27:00,2021-11-23 12:20:00,4,301,37,5681.72
17049,2021-03-09 08:33:00,2021-12-07 10:48:00,9,273,23,5659.98
17716,2021-03-17 10:38:00,2021-11-17 12:00:00,11,245,43,5655.99
13004,2020-12-17 08:20:00,2021-11-28 11:27:00,18,346,32,5655.91
18118,2020-12-05 12:13:00,2021-11-29 11:32:00,26,358,31,5653.82
14688,2020-12-01 09:37:00,2021-12-02 12:26:00,21,366,28,5630.87
17757,2020-12-02 17:17:00,2021-12-08 15:31:00,30,370,22,5605.29
12481,2020-12-09 10:13:00,2021-11-17 08:29:00,10,342,43,5596.32
12839,2020-12-07 15:48:00,2021-12-07 12:33:00,14,364,23,5591.42
16767,2021-01-27 13:38:00,2021-11-09 09:42:00,11,285,51,5580.6
16161,2020-12-06 10:03:00,2021-12-08 12:10:00,19,367,22,5575.56
12539,2021-01-10 09:11:00,2021-11-17 13:30:00,4,311,43,5568.35
15805,2020-12-10 09:33:00,2021-11-16 16:32:00,17,341,44,5528.48
18225,2020-12-09 15:46:00,2021-12-06 13:27:00,12,361,24,5509.12
16609,2021-04-01 10:11:00,2021-11-24 13:32:00,7,237,36,5493.46
16985,2020-12-16 10:38:00,2021-11-22 13:33:00,10,341,38,5464.12
16265,2020-12-10 10:21:00,2021-11-30 16:41:00,9,355,30,5447.0
18198,2021-01-07 13:39:00,2021-12-05 14:49:00,17,332,25,5425.5599999999995
12490,2021-01-14 09:13:00,2021-12-04 16:07:00,10,324,26,5417.93
17809,2020-12-01 09:41:00,2021-11-23 12:59:00,12,357,37,5411.91
16701,2020-12-13 11:51:00,2021-12-01 11:10:00,13,352,29,5398.3
17719,2021-03-29 11:29:00,2021-11-02 10:36:00,15,217,58,5396.04
17850,2020-12-01 08:26:00,2020-12-02 15:27:00,34,1,393,5391.21
16303,2021-01-10 14:16:00,2021-11-14 10:49:00,3,307,46,5360.63
13269,2020-12-05 11:51:00,2021-12-08 14:53:00,15,368,22,5346.2300000000005
15150,2021-03-15 14:21:00,2021-11-22 12:52:00,10,251,38,5314.469999999999
17730,2021-01-17 14:49:00,2021-12-06 15:43:00,13,323,24,5298.4800000000005
17061,2021-04-21 13:29:00,2021-09-27 11:24:00,11,158,94,5232.23
18226,2021-01-06 09:00:00,2021-10-26 13:36:00,11,293,65,5228.05
12362,2021-02-17 10:30:00,2021-12-06 15:40:00,10,292,24,5226.2300000000005
15046,2021-01-05 15:30:00,2021-11-30 15:50:00,15,329,30,5213.77
16258,2021-05-04 14:33:00,2021-10-25 13:30:00,5,173,66,5203.51
13756,2020-12-07 11:41:00,2021-12-07 16:44:00,14,365,23,5189.5199999999995
16191,2020-12-14 12:38:00,2021-12-07 11:26:00,13,357,23,5180.5199999999995
15727,2020-12-15 15:47:00,2021-11-23 12:36:00,7,342,37,5178.96
17858,2020-12-05 13:08:00,2021-12-04 11:56:00,12,363,26,5155.66
13599,2020-12-08 10:11:00,2021-12-08 16:10:00,21,365,22,5153.67
15903,2021-02-17 14:04:00,2021-11-30 08:08:00,7,285,30,5126.76
13941,2020-12-02 10:17:00,2021-11-18 09:43:00,5,350,42,5112.96
17602,2021-01-19 16:18:00,2021-12-07 13:53:00,7,321,23,5102.97
16700,2020-12-08 16:34:00,2021-12-01 11:00:00,13,357,29,5076.55
14562,2021-02-08 14:45:00,2021-12-06 11:05:00,18,300,24,5074.7699999999995
15301,2020-12-06 12:21:00,2021-10-20 09:57:00,12,317,71,5070.35
13139,2021-03-25 11:57:00,2021-11-23 13:54:00,7,243,37,5064.94
12432,2021-06-20 13:27:00,2021-10-28 11:43:00,5,129,63,5059.32
15719,2021-01-06 12:31:00,2021-11-07 12:29:00,13,304,53,5045.610000000001
17426,2021-03-02 16:34:00,2021-12-01 18:07:00,6,274,29,5037.26
14329,2021-01-14 13:42:00,2021-11-22 15:50:00,7,312,38,5014.84
14755,2021-01-09 14:02:00,2021-11-30 11:24:00,11,324,30,5010.28
12444,2021-06-21 14:00:00,2021-11-18 13:23:00,5,149,42,5005.46
15032,2020-12-08 12:57:00,2021-03-28 15:03:00,3,110,277,4959.1
15547,2020-12-12 13:26:00,2021-12-02 12:52:00,14,354,28,4954.84
12437,2021-01-12 14:13:00,2021-12-08 11:35:00,18,329,22,4951.41
12700,2021-05-08 16:10:00,2021-12-02 10:47:00,4,207,28,4939.99
15786,2021-08-17 13:33:00,2021-10-24 14:13:00,3,68,67,4932.200000000001
14709,2020-12-16 13:43:00,2021-11-24 15:41:00,13,343,36,4921.04
17133,2021-03-18 13:47:00,2021-11-24 12:27:00,7,250,36,4892.24
12664,2021-01-21 11:42:00,2021-12-01 17:07:00,9,314,29,4881.88
12688,2021-08-18 08:49:00,2021-08-18 08:49:00,1,0,134,4873.81
14292,2021-03-02 08:26:00,2021-12-02 11:50:00,9,275,28,4871.93
17652,2021-03-03 14:05:00,2021-11-14 12:55:00,12,255,46,4867.72
15738,2020-12-02 12:50:00,2021-11-21 08:26:00,16,353,39,4812.42
13013,2020-12-03 12:28:00,2021-12-08 15:01:00,13,370,22,4810.9400000000005
15555,2020-12-05 14:45:00,2021-11-27 16:19:00,16,357,33,4805.17
17365,2021-01-11 12:11:00,2021-11-27 12:13:00,8,320,33,4801.56
15298,2020-12-08 13:55:00,2021-12-07 17:17:00,12,364,23,4799.9
15187,2021-05-11 13:49:00,2021-12-08 11:56:00,16,210,22,4777.18
17690,2020-12-01 16:15:00,2021-11-09 15:17:00,15,342,51,4757.95
12955,2021-03-17 09:03:00,2021-12-08 16:29:00,11,266,22,4757.16
14180,2020-12-02 13:08:00,2021-11-29 10:56:00,25,361,31,4748.52
15152,2021-06-05 15:36:00,2021-11-30 12:32:00,13,177,30,4745.6900000000005
16722,2020-12-06 12:59:00,2021-11-22 13:28:00,13,351,38,4730.8099999999995
12714,2021-02-18 10:53:00,2021-11-30 15:43:00,5,285,30,4708.86
14159,2020-12-12 11:17:00,2021-11-20 12:36:00,11,343,40,4693.01
14135,2020-12-02 10:27:00,2021-12-08 11:38:00,15,371,22,4690.31
14191,2021-05-03 10:30:00,2021-12-08 09:23:00,13,218,22,4684.76
15291,2020-12-01 09:32:00,2021-11-14 11:02:00,15,348,46,4668.3
14189,2020-12-06 11:42:00,2021-12-07 15:55:00,15,366,23,4654.08
14390,2020-12-02 11:57:00,2021-11-29 13:49:00,9,362,31,4652.82
14286,2021-04-11 08:16:00,2021-11-16 10:34:00,3,219,44,4628.75
16931,2020-12-05 11:40:00,2021-12-04 13:15:00,21,364,26,4604.22
13802,2021-02-01 12:03:00,2021-07-24 10:54:00,3,172,159,4599.42
15093,2020-12-02 18:25:00,2021-11-21 13:09:00,6,353,39,4597.02
14004,2021-02-24 09:28:00,2021-10-27 14:40:00,7,245,64,4582.64
17613,2021-02-07 11:20:00,2021-11-17 10:51:00,14,282,43,4559.15
17068,2020-12-06 13:58:00,2021-11-27 13:14:00,21,355,33,4552.14
12484,2021-01-07 14:04:00,2021-11-07 11:37:00,6,303,53,4541.72
13267,2020-12-08 09:20:00,2021-12-07 11:12:00,19,364,23,4521.49
15299,2020-12-02 16:48:00,2021-10-03 14:19:00,7,304,88,4507.01
17975,2020-12-08 11:38:00,2021-11-24 13:27:00,13,351,36,4488.8099999999995
12524,2021-01-10 10:35:00,2021-11-30 15:31:00,8,324,30,4485.72
14426,2021-01-31 09:51:00,2021-11-16 12:25:00,10,289,44,4481.67
16984,2021-08-01 17:37:00,2021-09-12 13:43:00,2,41,109,4481.35
17364,2021-01-12 16:57:00,2021-12-09 09:00:00,11,330,21,4481.18
12627,2021-07-22 13:59:00,2021-11-29 12:07:00,7,129,31,4478.53
14085,2020-12-06 12:39:00,2021-12-07 13:46:00,18,366,23,4448.54
14534,2021-01-25 12:33:00,2021-12-07 12:19:00,18,315,23,4447.05
13069,2020-12-05 11:02:00,2021-12-09 08:39:00,24,368,21,4436.12
15955,2020-12-02 11:22:00,2021-11-15 14:15:00,14,348,45,4416.26
16626,2021-03-18 12:27:00,2021-12-09 11:56:00,17,265,21,4413.1
15874,2021-02-28 13:28:00,2021-10-07 12:31:00,7,220,84,4405.88
12712,2020-12-03 14:30:00,2021-11-11 08:19:00,13,342,49,4396.13
13505,2021-04-21 12:07:00,2021-09-28 11:56:00,4,159,93,4393.63
12752,2021-09-19 13:32:00,2021-09-19 13:32:00,1,0,102,4366.78
16945,2020-12-16 17:49:00,2021-11-18 11:39:00,19,336,42,4345.5
14016,2020-12-17 14:21:00,2021-07-01 11:29:00,4,195,182,4341.21
14800,2020-12-05 11:10:00,2021-10-23 12:46:00,12,322,68,4339.74
14525,2020-12-13 17:40:00,2021-11-20 11:37:00,9,341,40,4332.2
17567,2020-12-02 15:18:00,2021-12-02 15:48:00,8,365,28,4331.48
18251,2021-09-13 15:03:00,2021-09-13 15:03:00,1,0,108,4314.72
12347,2020-12-07 14:57:00,2021-12-07 15:52:00,7,365,23,4310.0
15034,2020-12-21 09:47:00,2021-11-24 12:11:00,8,338,36,4308.61
17937,2020-12-12 14:43:00,2021-12-01 11:45:00,7,353,29,4301.22
14422,2021-03-17 17:26:00,2021-12-09 11:26:00,6,266,21,4263.64
12500,2021-01-10 09:48:00,2021-11-16 16:20:00,11,310,44,4257.82
17419,2020-12-07 15:03:00,2021-11-28 13:47:00,12,355,32,4226.57
14277,2021-05-11 13:20:00,2021-11-24 15:01:00,3,197,36,4216.2
15804,2021-05-25 10:12:00,2021-12-09 12:31:00,13,198,21,4206.39
17920,2020-12-01 11:49:00,2021-12-05 14:29:00,17,369,25,4204.1
15971,2021-02-01 16:47:00,2021-11-22 12:50:00,12,293,38,4199.85
