,id_client,frequency,recency,monetary,segment,country
45,12471,30,23,19824.05,Top,Germany
46,12731,12,44,18895.91,Top,France
47,15159,30,22,18641.01,Top,United Kingdom
48,12901,28,29,17654.54,Top,United Kingdom
49,12678,12,63,17628.46,Top,France
50,14031,19,28,17286.86,Top,United Kingdom
51,17428,28,21,17256.85,Top,United Kingdom
52,13767,37,23,17220.36,Top,United Kingdom
53,13881,20,24,17159.52,Top,United Kingdom
54,16839,34,29,16594.35,Top,United Kingdom
55,12921,37,30,16587.09,Top,United Kingdom
56,14607,14,36,16569.5,Top,United Kingdom
57,15856,27,25,16387.57,Top,United Kingdom
58,17677,30,22,16363.23,Top,United Kingdom
59,15189,41,22,16225.39,Top,United Kingdom
60,14051,23,21,15610.39,Top,United Kingdom
61,15513,19,54,14758.22,Top,United Kingdom
62,16133,33,24,14589.04,Top,United Kingdom
63,14866,12,31,14389.9,Top,United Kingdom
64,16705,20,21,14034.99,Top,United Kingdom
65,12681,22,35,13787.54,Top,France
66,12621,20,22,13689.67,Top,Germany
67,12540,17,40,13400.24,Top,Spain
68,12433,7,21,13375.87,Top,Norway
69,15498,27,23,13316.4,Top,United Kingdom
70,12477,6,43,13219.74,High value,Germany
71,17735,19,23,13110.02,Top,United Kingdom
72,16525,26,23,13027.45,Top,United Kingdom
73,14258,9,30,12669.98,Top,United Kingdom
74,13078,26,24,12627.94,Top,United Kingdom
75,12536,3,64,12601.83,Medium Value,France
76,15640,15,25,12515.66,Top,United Kingdom
77,16000,3,23,12393.7,High value,United Kingdom
78,17340,11,50,12353.29,Top,United Kingdom
79,12682,31,24,12288.22,Top,France
80,13113,24,21,12245.96,Top,United Kingdom
81,14606,95,22,12156.65,Top,United Kingdom
82,12557,5,37,11990.96,High value,Spain
83,12939,8,85,11581.8,High value,United Kingdom
84,15125,15,46,11528.48,Top,United Kingdom
85,14194,22,25,11349.52,Top,United Kingdom
86,12971,86,24,11189.91,Top,United Kingdom
87,14895,20,28,11138.71,Top,United Kingdom
88,12409,3,99,11072.67,Medium Value,Switzerland
89,15482,12,36,11054.96,Top,United Kingdom
90,17581,25,21,11045.04,Top,United Kingdom
91,13319,26,26,10845.55,Top,United Kingdom
92,17107,6,54,10815.43,High value,United Kingdom
93,13340,7,66,10736.48,High value,United Kingdom
94,14769,9,23,10674.75,Top,United Kingdom
95,17139,12,36,10668.47,Top,United Kingdom
96,16779,22,23,10629.72,Top,United Kingdom
97,17865,20,51,10526.32,Top,United Kingdom
98,17706,17,25,10504.49,Top,United Kingdom
99,15251,11,30,10484.99,Top,United Kingdom
100,14062,12,30,10464.85,Top,United Kingdom
101,15615,23,31,10399.74,Top,United Kingdom
102,15502,12,36,10384.93,Top,United Kingdom
103,16180,8,121,10254.18,High value,United Kingdom
104,16843,16,63,10196.57,Top,United Kingdom
105,12590,2,232,9864.26,Medium Value,Germany
106,13001,13,25,9818.82,Top,United Kingdom
107,13199,38,24,9817.12,Top,United Kingdom
108,15078,32,28,9743.11,Top,United Kingdom
109,12709,15,36,9736.52,Top,Germany
110,13458,14,28,9646.57,Top,United Kingdom
111,14733,12,37,9585.91,Top,United Kingdom
112,16523,21,22,9418.47,Top,United Kingdom
113,12567,10,43,9401.28,Top,France
114,14367,16,29,9261.52,Top,United Kingdom
115,14667,25,31,9241.2,Top,United Kingdom
116,18092,11,23,9068.26,Top,United Kingdom
117,13969,18,28,9053.94,Top,United Kingdom
118,12451,5,31,9035.52,High value,Switzerland
119,13488,13,38,8968.31,Top,United Kingdom
120,13090,14,29,8910.82,Top,United Kingdom
121,16033,20,26,8816.4,Top,United Kingdom
122,17017,20,23,8694.26,Top,United Kingdom
123,17243,26,22,8676.85,Top,United Kingdom
124,17306,19,31,8631.31,Top,United Kingdom
125,16656,15,43,8625.8,Top,United Kingdom
126,14527,55,23,8508.82,Top,United Kingdom
127,12683,15,25,8476.57,Top,France
128,18139,6,38,8438.34,High value,United Kingdom
129,15358,22,25,8347.2,Top,United Kingdom
130,16558,20,21,8338.49,Top,United Kingdom
131,14056,23,22,8214.65,Top,United Kingdom
132,14936,8,54,8137.02,High value,Channel Islands
133,16672,20,23,8134.94,Top,United Kingdom
134,13854,25,29,8109.52,Top,United Kingdom
135,14952,11,80,8099.49,High value,United Kingdom
136,18109,26,22,8052.97,Top,United Kingdom
137,14796,17,22,8022.49,Top,United Kingdom
138,12428,9,46,7956.46,Top,Finland
139,15290,18,25,7943.22,Top,United Kingdom
140,14849,25,42,7930.54,Top,United Kingdom
141,12757,13,36,7857.1,Top,Portugal
142,17811,39,25,7837.73,Top,United Kingdom
143,13093,8,296,7832.47,High value,United Kingdom
144,12435,2,100,7829.89,Medium Value,Denmark
145,13629,11,44,7792.36,Top,United Kingdom
146,15044,17,40,7700.23,Top,United Kingdom
147,15194,15,24,7616.53,Top,United Kingdom
148,18172,20,35,7561.68,Top,United Kingdom
149,13263,35,22,7454.07,Top,United Kingdom
150,12474,18,38,7375.79,Top,Germany
151,12980,9,178,7374.9,High value,United Kingdom
152,15465,18,40,7354.62,Top,United Kingdom
153,17396,8,60,7330.8,High value,United Kingdom
154,12583,15,23,7281.38,Top,France
155,13018,28,37,7277.7,Top,United Kingdom
156,18229,20,32,7276.9,Top,United Kingdom
157,16923,19,33,7247.61,Top,United Kingdom
158,16729,21,59,7239.92,Top,United Kingdom
159,16745,17,107,7194.3,High value,United Kingdom
160,16873,6,25,7123.62,Top,United Kingdom
161,13324,10,57,7121.95,High value,United Kingdom
162,13985,15,25,7060.13,Top,United Kingdom
163,14961,9,31,7044.68,Top,United Kingdom
164,12766,7,24,6989.63,Top,Portugal
165,12798,3,31,6977.04,High value,Japan
166,12989,15,24,6924.11,Top,United Kingdom
167,16713,15,39,6923.13,Top,United Kingdom
168,13027,6,134,6912.0,High value,United Kingdom
169,16187,15,52,6911.44,Top,United Kingdom
170,17416,7,50,6893.42,High value,United Kingdom
171,12705,9,36,6868.29,Top,Germany
172,12476,11,36,6816.42,Top,Germany
173,12830,6,58,6814.64,High value,United Kingdom
174,15023,11,24,6802.76,Top,United Kingdom
175,18055,10,28,6784.19,Top,United Kingdom
176,15601,14,32,6776.56,Top,United Kingdom
177,16652,7,79,6773.97,High value,United Kingdom
178,16532,3,38,6748.8,High value,United Kingdom
179,13576,18,31,6717.34,Top,United Kingdom
180,16746,18,25,6697.66,Top,United Kingdom
181,15249,13,52,6688.46,Top,United Kingdom
182,16353,23,24,6675.71,Top,United Kingdom
183,17338,8,38,6643.93,Top,United Kingdom
184,12626,9,44,6620.48,High value,Germany
185,16182,4,93,6617.65,Medium Value,United Kingdom
186,15144,17,29,6580.44,Top,United Kingdom
187,12472,7,53,6572.11,High value,Germany
188,16814,21,35,6509.1,Top,United Kingdom
189,12431,15,56,6487.45,Top,Australia
190,18223,14,25,6484.54,Top,United Kingdom
191,15694,14,21,6479.4,Top,United Kingdom
192,13225,7,24,6463.84,Top,United Kingdom
193,13102,24,22,6424.09,Top,United Kingdom
194,13871,13,43,6403.25,Top,United Kingdom
195,12359,4,78,6372.58,High value,Cyprus
196,13668,21,23,6363.59,Top,United Kingdom
197,13709,13,24,6328.05,Top,United Kingdom
198,15005,29,36,6316.57,Top,United Kingdom
199,17315,38,22,6292.26,Top,United Kingdom
200,16126,4,50,6287.77,High value,United Kingdom
201,14057,17,44,6217.96,Top,United Kingdom
202,12357,1,54,6207.67,Medium Value,Switzerland
203,14060,19,25,6140.42,Top,United Kingdom
204,13418,18,32,6127.43,Top,United Kingdom
205,17509,8,78,6115.14,High value,United Kingdom
206,15939,15,110,6115.01,High value,United Kingdom
207,14735,32,24,6065.69,Top,United Kingdom
208,12637,9,88,6021.9,High value,France
209,13097,10,53,6010.42,High value,United Kingdom
210,13316,4,58,5977.73,High value,United Kingdom
211,14101,6,94,5976.79,High value,United Kingdom
212,15382,6,35,5955.71,High value,United Kingdom
213,14505,8,38,5905.64,Top,United Kingdom
214,14415,13,22,5900.28,Top,United Kingdom
215,14944,12,50,5900.25,High value,United Kingdom
216,13209,8,51,5891.61,High value,United Kingdom
217,13534,25,23,5870.08,Top,United Kingdom
218,13050,17,35,5836.86,Top,United Kingdom
219,12720,25,23,5781.73,Top,Germany
220,15218,11,31,5756.89,Top,United Kingdom
221,17686,7,28,5739.46,Top,United Kingdom
222,13178,11,47,5725.47,High value,United Kingdom
223,16553,12,184,5719.82,High value,United Kingdom
224,13468,38,22,5704.97,Top,United Kingdom
225,14110,12,24,5683.15,Top,United Kingdom
226,14049,4,37,5681.72,High value,United Kingdom
227,17049,9,23,5659.98,Top,United Kingdom
228,17716,11,43,5655.99,Top,United Kingdom
229,13004,18,32,5655.91,Top,United Kingdom
230,18118,26,31,5653.82,Top,United Kingdom
231,14688,21,28,5630.87,Top,United Kingdom
232,17757,30,22,5605.29,Top,United Kingdom
233,12481,10,43,5596.32,High value,Germany
234,12839,14,23,5591.42,Top,United Kingdom
235,16767,11,51,5580.6,High value,United Kingdom
236,16161,19,22,5575.56,Top,United Kingdom
237,12539,4,43,5568.35,High value,Spain
238,15805,17,44,5528.48,Top,United Kingdom
239,18225,12,24,5509.12,Top,United Kingdom
240,16609,7,36,5493.46,High value,United Kingdom
241,16985,10,38,5464.12,Top,United Kingdom
242,16265,9,30,5447.0,Top,United Kingdom
243,18198,17,25,5425.56,Top,United Kingdom
244,12490,10,26,5417.93,Top,France
245,17809,12,37,5411.91,Top,United Kingdom
246,16701,13,29,5398.3,Top,United Kingdom
247,17719,15,58,5396.04,High value,United Kingdom
248,17850,34,393,5391.21,High value,United Kingdom
249,16303,3,46,5360.63,Medium Value,United Kingdom
250,13269,15,22,5346.23,Top,United Kingdom
251,15150,10,38,5314.47,Top,United Kingdom
252,17730,13,24,5298.48,Top,United Kingdom
253,17061,11,94,5232.23,High value,United Kingdom
254,18226,11,65,5228.05,High value,United Kingdom
255,12362,10,24,5226.23,Top,Belgium
256,15046,15,30,5213.77,Top,United Kingdom
257,16258,5,66,5203.51,High value,United Kingdom
258,13756,14,23,5189.52,Top,United Kingdom
259,16191,13,23,5180.52,Top,United Kingdom
260,15727,7,37,5178.96,High value,United Kingdom
261,17858,12,26,5155.66,Top,United Kingdom
262,13599,21,22,5153.67,Top,United Kingdom
263,15903,7,30,5126.76,Top,United Kingdom
264,13941,5,42,5112.96,High value,United Kingdom
265,17602,7,23,5102.97,Top,United Kingdom
266,16700,13,29,5076.55,Top,United Kingdom
267,14562,18,24,5074.77,Top,United Kingdom
268,15301,12,71,5070.35,High value,United Kingdom
269,13139,7,37,5064.94,High value,United Kingdom
270,12432,5,63,5059.32,High value,Norway
271,15719,13,53,5045.61,High value,United Kingdom
272,17426,6,29,5037.26,High value,United Kingdom
273,14329,7,38,5014.84,High value,United Kingdom
274,14755,11,30,5010.28,Top,United Kingdom
275,12444,5,42,5005.46,High value,Norway
276,15032,3,277,4959.1,Medium Value,United Kingdom
277,15547,14,28,4954.84,Top,United Kingdom
278,12437,18,22,4951.41,Top,France
279,12700,4,28,4939.99,High value,France
280,15786,3,67,4932.2,Medium Value,United Kingdom
281,14709,13,36,4921.04,Top,United Kingdom
282,17133,7,36,4892.24,High value,United Kingdom
283,12664,9,29,4881.88,Top,Finland
284,12688,1,134,4873.81,Medium Value,Israel
285,14292,9,28,4871.93,Top,United Kingdom
286,17652,12,46,4867.72,High value,United Kingdom
287,15738,16,39,4812.42,Top,United Kingdom
288,13013,13,22,4810.94,Top,United Kingdom
289,15555,16,33,4805.17,Top,United Kingdom
290,17365,8,33,4801.56,High value,United Kingdom
291,15298,12,23,4799.9,Top,United Kingdom
292,15187,16,22,4777.18,Top,United Kingdom
293,17690,15,51,4757.95,High value,United Kingdom
294,12955,11,22,4757.16,Top,United Kingdom
295,14180,25,31,4748.52,Top,United Kingdom
296,15152,13,30,4745.69,Top,United Kingdom
297,16722,13,38,4730.81,Top,United Kingdom
298,12714,5,30,4708.86,High value,France
299,14159,11,40,4693.01,High value,United Kingdom
300,14135,15,22,4690.31,Top,United Kingdom
301,14191,13,22,4684.76,Top,United Kingdom
302,15291,15,46,4668.3,High value,United Kingdom
303,14189,15,23,4654.08,Top,United Kingdom
304,14390,9,31,4652.82,Top,United Kingdom
305,14286,3,44,4628.75,Medium Value,United Kingdom
306,16931,21,26,4604.22,Top,United Kingdom
307,13802,3,159,4599.42,Medium Value,United Kingdom
308,15093,6,39,4597.02,High value,United Kingdom
309,14004,7,64,4582.64,High value,United Kingdom
310,17613,14,43,4559.15,Top,United Kingdom
311,17068,21,33,4552.14,Top,United Kingdom
312,12484,6,53,4541.72,High value,Spain
313,13267,19,23,4521.49,Top,United Kingdom
314,15299,7,88,4507.01,High value,United Kingdom
315,17975,13,36,4488.81,Top,United Kingdom
316,12524,8,30,4485.72,Top,Germany
317,14426,10,44,4481.67,High value,United Kingdom
318,16984,2,109,4481.35,Medium Value,United Kingdom
319,17364,11,21,4481.18,Top,United Kingdom
320,12627,7,31,4478.53,High value,Germany
321,14085,18,23,4448.54,Top,United Kingdom
322,14534,18,23,4447.05,Top,United Kingdom
323,13069,24,21,4436.12,Top,United Kingdom
324,15955,14,45,4416.26,High value,United Kingdom
325,16626,17,21,4413.1,Top,United Kingdom
326,15874,7,84,4405.88,High value,United Kingdom
327,12712,13,49,4396.13,High value,Germany
328,13505,4,93,4393.63,Medium Value,Switzerland
329,12752,1,102,4366.78,Medium Value,Norway
330,16945,19,42,4345.5,Top,United Kingdom
331,14016,4,182,4341.21,Medium Value,EIRE
332,14800,12,68,4339.74,High value,United Kingdom
333,14525,9,40,4332.2,High value,United Kingdom
334,17567,8,28,4331.48,Top,United Kingdom
335,18251,1,108,4314.72,Medium Value,United Kingdom
336,12347,7,23,4310.0,Top,Iceland
337,15034,8,36,4308.61,High value,United Kingdom
338,17937,7,29,4301.22,High value,United Kingdom
339,14422,6,21,4263.64,Top,United Kingdom
340,12500,11,44,4257.82,High value,Germany
341,17419,12,32,4226.57,Top,United Kingdom
342,14277,3,36,4216.2,High value,France
343,15804,13,21,4206.39,Top,United Kingdom
344,17920,17,25,4204.1,Top,United Kingdom
345,15971,12,38,4199.85,Top,United Kingdom
346,12747,11,23,4196.01,Top,United Kingdom
347,14146,5,29,4191.0,High value,United Kingdom
348,18041,21,32,4183.39,Top,United Kingdom
349,12949,8,51,4167.22,High value,United Kingdom
350,15570,12,28,4165.52,Top,United Kingdom
351,16549,10,31,4154.64,Top,United Kingdom
352,13384,7,51,4151.93,High value,United Kingdom
353,13555,4,94,4149.28,Medium Value,United Kingdom
354,13988,6,40,4147.96,High value,United Kingdom
355,15514,11,33,4139.46,Top,United Kingdom
356,12569,32,23,4124.69,Top,Germany
357,16592,16,25,4113.68,Top,United Kingdom
358,17940,10,70,4106.44,High value,United Kingdom
359,17377,20,44,4100.92,High value,United Kingdom
360,16401,12,22,4098.32,Top,United Kingdom
361,16670,11,37,4095.9,High value,United Kingdom
362,12749,5,24,4090.88,High value,United Kingdom
363,14092,14,28,4076.91,Top,United Kingdom
364,12449,4,43,4067.29,High value,Belgium
365,18087,2,119,4055.72,Medium Value,United Kingdom
366,14401,13,25,4051.48,Top,United Kingdom
367,12656,5,38,4051.17,High value,France
368,12867,7,47,4036.82,High value,United Kingdom
369,13815,4,43,4027.36,High value,Germany
370,12841,25,25,4022.35,Top,United Kingdom
371,12957,8,30,4017.54,High value,United Kingdom
372,12378,1,150,4008.62,Low Value,Switzerland
373,14547,8,24,4007.54,Top,United Kingdom
374,16186,12,43,4006.94,High value,United Kingdom
375,17769,10,33,3997.98,High value,United Kingdom
376,15529,11,43,3995.23,High value,United Kingdom
377,17001,11,21,3989.57,Top,United Kingdom
378,15416,4,85,3984.32,Medium Value,United Kingdom
379,17611,15,28,3984.22,Top,United Kingdom
380,12779,8,58,3981.36,High value,Poland
381,12727,7,31,3980.7,High value,France
382,14299,9,29,3965.62,Top,United Kingdom
383,13523,5,54,3964.88,High value,United Kingdom
384,13183,9,28,3957.78,Top,United Kingdom
385,17651,10,32,3945.0,High value,United Kingdom
386,12473,5,50,3938.55,High value,Germany
387,17593,5,24,3927.34,High value,United Kingdom
388,14739,7,25,3902.28,High value,United Kingdom
389,13999,12,31,3901.81,Top,United Kingdom
390,14291,11,22,3883.25,Top,United Kingdom
391,18073,12,135,3877.52,High value,United Kingdom
392,13124,3,110,3866.33,Medium Value,United Kingdom
393,15195,1,23,3861.0,Medium Value,United Kingdom
394,16717,6,44,3858.38,High value,United Kingdom
395,12662,11,21,3849.78,Top,Germany
396,16327,6,35,3844.22,High value,United Kingdom
397,13266,12,32,3834.26,Top,United Kingdom
398,17091,9,23,3827.76,Top,United Kingdom
399,15867,15,26,3812.64,Top,United Kingdom
400,12755,2,301,3811.95,Medium Value,Japan
401,12597,4,40,3811.22,High value,Spain
402,13435,7,26,3809.89,High value,United Kingdom
403,12668,4,32,3807.15,High value,Germany
404,16145,11,29,3799.49,Top,United Kingdom
405,16655,6,38,3794.52,High value,United Kingdom
406,16168,27,31,3787.6,Top,United Kingdom
407,16019,9,67,3786.24,High value,United Kingdom
408,12562,7,29,3781.74,High value,France
409,17173,8,26,3766.6,High value,United Kingdom
410,16904,16,25,3754.27,Top,United Kingdom
411,12429,4,30,3750.4,High value,Denmark
412,17238,17,23,3744.65,Top,United Kingdom
413,14145,4,67,3742.2,Medium Value,United Kingdom
414,13552,12,87,3740.07,High value,United Kingdom
415,16570,10,36,3738.4,High value,United Kingdom
416,15808,4,327,3734.97,Medium Value,United Kingdom
417,14282,15,24,3729.34,Top,United Kingdom
418,12502,5,116,3723.87,Medium Value,Spain
419,12647,12,43,3722.82,High value,Germany
420,13680,4,22,3722.42,High value,United Kingdom
421,16240,2,45,3718.8,Medium Value,United Kingdom
422,14364,8,129,3717.35,High value,United Kingdom
423,15845,8,38,3711.77,High value,United Kingdom
424,15622,9,64,3709.56,High value,United Kingdom
425,13148,12,50,3707.12,High value,United Kingdom
426,17819,7,92,3704.87,High value,United Kingdom
427,15379,7,190,3703.29,Medium Value,United Kingdom
428,12553,10,29,3692.28,Top,France
429,16253,2,87,3683.86,Medium Value,United Kingdom
430,15581,13,141,3679.97,High value,United Kingdom
431,15296,6,71,3672.86,High value,United Kingdom
432,18079,4,66,3651.97,Medium Value,United Kingdom
433,13137,8,31,3650.41,High value,United Kingdom
434,12417,9,24,3649.1,Top,Belgium
435,16712,11,30,3645.43,Top,United Kingdom
436,13426,10,21,3641.32,Top,United Kingdom
437,12619,9,37,3641.24,High value,Germany
438,16440,5,28,3640.67,High value,United Kingdom
439,13381,6,52,3639.31,High value,United Kingdom
440,17230,8,285,3638.41,Medium Value,United Kingdom
441,14543,16,49,3630.33,High value,United Kingdom
442,17528,8,22,3628.5,Top,United Kingdom
443,13327,8,59,3627.77,High value,United Kingdom
444,13520,6,79,3624.35,High value,Switzerland
445,17576,19,29,3622.68,Top,United Kingdom
446,14040,12,61,3614.92,High value,United Kingdom
447,13082,9,147,3613.63,High value,United Kingdom
448,15505,5,73,3610.96,Medium Value,United Kingdom
449,15113,3,30,3609.33,Medium Value,United Kingdom
450,16242,7,29,3603.21,High value,United Kingdom
451,15484,4,22,3594.31,High value,United Kingdom
452,14132,11,23,3586.03,Top,United Kingdom
453,17203,6,56,3563.85,High value,United Kingdom
454,17491,10,22,3558.87,Top,United Kingdom
455,15544,9,30,3546.71,High value,United Kingdom
456,12370,4,72,3545.69,Medium Value,Cyprus
457,14503,6,24,3543.26,High value,United Kingdom
458,13448,6,37,3539.37,High value,United Kingdom
459,13334,3,103,3536.82,Medium Value,United Kingdom
460,12454,1,77,3528.34,Medium Value,Spain
461,17160,6,52,3518.03,High value,United Kingdom
462,13953,7,28,3515.68,High value,United Kingdom
463,16360,6,25,3512.53,High value,United Kingdom
464,14395,9,23,3507.71,Top,United Kingdom
465,16131,6,72,3506.54,High value,United Kingdom
466,14907,7,24,3501.1,High value,United Kingdom
467,16458,18,23,3482.74,Top,United Kingdom
468,13993,9,63,3466.36,High value,United Kingdom
469,13014,10,31,3466.28,High value,United Kingdom
470,17758,9,40,3456.7,High value,United Kingdom
471,15410,9,105,3450.84,High value,United Kingdom
472,13536,7,22,3448.29,High value,United Kingdom
473,15129,11,71,3447.4,High value,United Kingdom
474,15974,7,60,3442.15,High value,United Kingdom
475,17725,11,37,3439.08,High value,United Kingdom
476,15676,3,39,3435.76,Medium Value,United Kingdom
477,14221,9,63,3432.8,High value,United Kingdom
478,12406,2,43,3415.3,Medium Value,Denmark
479,15981,8,45,3408.48,High value,United Kingdom
480,13437,7,35,3408.06,High value,United Kingdom
481,17669,7,63,3406.72,High value,United Kingdom
482,13198,6,31,3401.24,High value,United Kingdom
483,15228,4,87,3386.71,Medium Value,United Kingdom
484,13842,9,79,3385.62,High value,United Kingdom
485,15708,7,61,3364.24,High value,United Kingdom
486,16011,16,29,3362.71,Top,United Kingdom
487,14227,10,47,3350.96,High value,United Kingdom
488,16818,11,31,3349.57,High value,United Kingdom
489,16607,14,38,3347.71,High value,United Kingdom
490,17183,6,28,3347.31,High value,United Kingdom
491,13015,5,74,3346.28,Medium Value,United Kingdom
492,12643,6,149,3344.64,Medium Value,France
493,12613,5,78,3344.38,Medium Value,Germany
494,12594,10,58,3338.22,High value,Italy
495,16556,7,87,3313.79,High value,United Kingdom
496,13373,3,81,3312.25,Medium Value,United Kingdom
497,14841,6,74,3295.76,High value,United Kingdom
498,14702,17,22,3292.14,Top,United Kingdom
499,15632,8,36,3285.31,High value,United Kingdom
500,12480,4,49,3281.63,Medium Value,Germany
501,15764,6,109,3279.97,Medium Value,United Kingdom
502,17723,6,148,3276.4,Medium Value,United Kingdom
503,13952,2,238,3251.07,Medium Value,United Kingdom
504,13047,10,52,3237.54,High value,United Kingdom
505,15443,7,22,3236.91,High value,United Kingdom
506,17050,6,117,3228.84,Medium Value,United Kingdom
507,14175,3,80,3222.3,Medium Value,United Kingdom
508,13880,13,42,3219.77,High value,United Kingdom
509,13268,11,38,3214.69,High value,United Kingdom
510,14388,8,31,3212.84,High value,United Kingdom
511,16107,7,38,3204.16,High value,United Kingdom
512,17220,14,45,3198.25,High value,United Kingdom
513,13868,2,28,3192.54,Medium Value,United Kingdom
514,17685,7,37,3191.53,High value,United Kingdom
515,13758,7,32,3190.55,High value,United Kingdom
516,14844,4,84,3189.81,Medium Value,United Kingdom
517,12456,3,65,3181.04,Medium Value,Switzerland
518,17672,2,71,3178.17,Medium Value,United Kingdom
519,17231,10,33,3174.32,High value,United Kingdom
520,16837,11,52,3170.98,High value,United Kingdom
521,16041,3,51,3166.4,Medium Value,United Kingdom
522,15861,9,33,3165.36,High value,United Kingdom
523,17863,6,80,3160.0,Medium Value,United Kingdom
524,15065,4,58,3158.13,Medium Value,United Kingdom
525,14235,5,96,3144.86,Medium Value,United Kingdom
526,13742,12,37,3131.02,High value,United Kingdom
527,16156,9,29,3122.04,High value,United Kingdom
528,13685,7,23,3119.44,High value,United Kingdom
529,16326,14,26,3110.96,Top,United Kingdom
530,16678,12,23,3109.99,Top,United Kingdom
531,13869,4,144,3104.95,Medium Value,United Kingdom
532,14099,11,37,3104.17,High value,United Kingdom
533,16905,7,26,3102.43,High value,United Kingdom
534,15491,6,116,3100.09,Medium Value,United Kingdom
535,14257,5,85,3099.72,Medium Value,United Kingdom
536,14565,4,116,3099.12,Medium Value,United Kingdom
537,13135,1,217,3096.0,Low Value,United Kingdom
538,17059,5,50,3095.04,High value,United Kingdom
539,13362,4,30,3090.74,High value,United Kingdom
540,15998,5,57,3089.97,Medium Value,United Kingdom
541,16218,7,50,3084.68,High value,United Kingdom
542,18272,6,23,3078.58,High value,United Kingdom
543,12910,8,44,3075.04,High value,United Kingdom
544,13631,11,120,3070.42,High value,United Kingdom
545,16686,7,68,3062.83,High value,United Kingdom
546,14456,9,26,3062.4,High value,United Kingdom
547,17799,11,43,3055.93,High value,United Kingdom
548,16940,3,73,3049.88,Medium Value,United Kingdom
549,16393,13,23,3046.21,Top,United Kingdom
550,16709,5,105,3029.87,Medium Value,United Kingdom
551,12598,8,30,3023.08,High value,France
552,12395,12,40,3018.63,High value,Belgium
553,18094,7,102,3017.3,Medium Value,United Kingdom
554,12754,4,256,3010.74,Medium Value,Japan
555,12916,4,159,3006.15,Medium Value,United Kingdom
556,15521,8,61,3000.2,High value,United Kingdom
557,17659,12,38,2999.46,High value,United Kingdom
558,17504,9,227,2997.03,Medium Value,United Kingdom
559,12670,5,31,2996.05,High value,France
560,14307,6,109,2995.72,Medium Value,United Kingdom
561,15687,9,29,2993.1,High value,United Kingdom
562,14639,6,73,2984.49,Medium Value,United Kingdom
563,13451,5,47,2976.15,High value,United Kingdom
564,14032,11,23,2975.59,Top,United Kingdom
565,15854,12,25,2974.65,High value,United Kingdom
566,16497,6,70,2965.69,Medium Value,United Kingdom
567,17924,7,32,2962.5,High value,United Kingdom
568,14868,8,24,2953.59,High value,United Kingdom
569,17084,2,56,2949.75,Medium Value,United Kingdom
570,17444,3,168,2940.04,Medium Value,Canada
571,16316,8,85,2938.91,High value,United Kingdom
572,14530,6,46,2925.91,High value,United Kingdom
573,17512,10,49,2924.99,High value,United Kingdom
574,15606,9,82,2920.16,High value,United Kingdom
575,12906,5,32,2919.81,High value,United Kingdom
576,14112,7,43,2915.15,High value,United Kingdom
577,12438,2,35,2906.85,Medium Value,Norway
578,17644,11,22,2895.64,Top,United Kingdom
579,18144,12,28,2888.75,High value,United Kingdom
580,12408,5,53,2888.55,Medium Value,Belgium
581,13735,4,45,2885.24,Medium Value,United Kingdom
582,16633,6,38,2883.1,High value,United Kingdom
