id_client,first_day,last_day,frequency,interval,recency,monetary,R_rank,F_rank,M_rank,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,segment
13881,2021-02-01 10:14:00,2021-12-06 12:50:00,20,308,24,17159.52,4064.5,4238.5,4287.0,94.03,97.66,98.78,4.89,Top
16839,2020-12-05 11:15:00,2021-12-01 09:03:00,34,360,29,16594.35,3764.0,4307.0,4286.0,87.08,99.24,98.76,4.86,Top
12921,2020-12-01 15:06:00,2021-11-30 16:22:00,37,364,30,16587.09,3689.0,4310.5,4285.0,85.34,99.32,98.73,4.85,Top
14607,2021-03-23 15:22:00,2021-11-24 10:35:00,14,245,36,16569.5,3399.5,4139.0,4284.0,78.65,95.37,98.71,4.73,Top
15856,2020-12-09 13:34:00,2021-12-05 17:09:00,27,361,25,16387.57,3970.5,4285.0,4283.0,91.86,98.73,98.69,4.88,Top
17677,2020-12-06 08:42:00,2021-12-08 09:56:00,30,367,22,16363.23,4253.0,4295.5,4282.0,98.39,98.97,98.66,4.94,Top
15189,2021-01-11 12:29:00,2021-12-08 13:22:00,41,331,22,16225.39,4253.0,4317.0,4281.0,98.39,99.47,98.64,4.94,Top
14051,2020-12-08 12:49:00,2021-12-09 10:20:00,23,365,21,15610.39,4322.5,4263.0,4280.0,100.0,98.23,98.62,4.94,Top
15513,2020-12-01 11:22:00,2021-11-06 14:36:00,19,340,54,14758.22,2571.0,4226.5,4279.0,59.48,97.38,98.59,4.62,Top
16133,2021-01-25 15:55:00,2021-12-06 11:24:00,33,314,24,14589.04,4064.5,4304.5,4278.0,94.03,99.18,98.57,4.9,Top
14866,2020-12-08 14:58:00,2021-11-29 11:45:00,12,355,31,14389.9,3615.0,4077.0,4277.0,83.63,93.94,98.55,4.75,Top
16705,2020-12-16 10:51:00,2021-12-09 12:08:00,20,358,21,14034.99,4322.5,4238.5,4276.0,100.0,97.66,98.53,4.92,Top
12681,2020-12-07 10:08:00,2021-11-25 11:33:00,22,353,35,13787.54,3451.0,4257.5,4275.0,79.84,98.1,98.5,4.78,Top
12621,2020-12-09 10:16:00,2021-12-08 11:25:00,20,364,22,13689.67,4253.0,4238.5,4274.0,98.39,97.66,98.48,4.91,Top
12540,2020-12-13 09:39:00,2021-11-20 11:31:00,17,342,40,13400.24,3153.5,4197.5,4273.0,72.96,96.72,98.46,4.71,Top
12433,2020-12-01 13:24:00,2021-12-09 10:02:00,7,372,21,13375.87,4322.5,3709.5,4272.0,100.0,85.47,98.43,4.74,Top
15498,2020-12-08 12:29:00,2021-12-07 12:48:00,27,364,23,13316.4,4156.5,4285.0,4271.0,96.16,98.73,98.41,4.91,Top
12477,2021-02-11 12:45:00,2021-11-17 09:51:00,6,278,43,13219.74,3037.5,3552.5,4270.0,70.27,81.85,98.39,4.46,High value
17735,2020-12-07 10:32:00,2021-12-07 16:47:00,19,365,23,13110.02,4156.5,4226.5,4269.0,96.16,97.38,98.36,4.89,Top
16525,2020-12-08 11:31:00,2021-12-07 15:07:00,26,364,23,13027.45,4156.5,4280.0,4268.0,96.16,98.62,98.34,4.9,Top
14258,2021-01-06 12:18:00,2021-11-30 15:27:00,9,328,30,12669.98,3689.0,3912.0,4267.0,85.34,90.14,98.32,4.7,Top
13078,2020-12-08 09:07:00,2021-12-06 15:36:00,26,363,24,12627.94,4064.5,4280.0,4266.0,94.03,98.62,98.29,4.89,Top
12536,2021-10-11 14:52:00,2021-10-27 14:20:00,3,15,64,12601.83,2332.0,2581.5,4265.0,53.95,59.48,98.27,4.0,Medium Value
15640,2020-12-02 15:40:00,2021-12-05 14:35:00,15,367,25,12515.66,3970.5,4162.5,4264.0,91.86,95.91,98.25,4.83,Top
16000,2021-12-07 12:14:00,2021-12-07 12:17:00,3,0,23,12393.7,4156.5,2581.5,4263.0,96.16,59.48,98.23,4.31,High value
17340,2020-12-08 15:56:00,2021-11-10 10:45:00,11,336,50,12353.29,2739.0,4027.5,4262.0,63.37,92.8,98.2,4.57,Top
12682,2020-12-03 13:59:00,2021-12-06 10:00:00,31,367,24,12288.22,4064.5,4298.5,4261.0,94.03,99.04,98.18,4.89,Top
13113,2020-12-08 13:21:00,2021-12-09 12:49:00,24,365,21,12245.96,4322.5,4267.0,4260.0,100.0,98.32,98.16,4.92,Top
14606,2020-12-01 16:57:00,2021-12-08 19:28:00,95,372,22,12156.65,4253.0,4335.0,4259.0,98.39,99.88,98.13,4.93,Top
12557,2020-12-03 12:20:00,2021-11-23 16:59:00,5,355,37,11990.96,3339.0,3344.0,4258.0,77.25,77.05,98.11,4.43,High value
12939,2021-01-09 11:20:00,2021-10-06 14:33:00,8,270,85,11581.8,1869.5,3828.0,4257.0,43.25,88.2,98.09,4.34,High value
15125,2021-03-14 09:59:00,2021-11-14 13:57:00,15,245,46,11528.48,2874.5,4162.5,4256.0,66.5,95.91,98.06,4.63,Top
14194,2021-02-04 14:51:00,2021-12-05 10:38:00,22,303,25,11349.52,3970.5,4257.5,4255.0,91.86,98.1,98.04,4.86,Top
12971,2020-12-02 16:42:00,2021-12-06 12:20:00,86,368,24,11189.91,4064.5,4333.0,4254.0,94.03,99.84,98.02,4.9,Top
14895,2021-02-22 13:08:00,2021-12-02 09:23:00,20,282,28,11138.71,3839.5,4238.5,4253.0,88.83,97.66,98.0,4.83,Top
12409,2021-06-10 12:19:00,2021-09-22 10:38:00,3,103,99,11072.67,1603.0,2581.5,4252.0,37.09,59.48,97.97,3.86,Medium Value
15482,2020-12-16 10:08:00,2021-11-24 10:46:00,12,343,36,11054.96,3399.5,4077.0,4251.0,78.65,93.94,97.95,4.69,Top
17581,2020-12-02 14:47:00,2021-12-09 12:21:00,25,371,21,11045.04,4322.5,4272.5,4250.0,100.0,98.44,97.93,4.92,Top
13319,2020-12-09 10:04:00,2021-12-04 13:34:00,26,360,26,10845.55,3899.5,4280.0,4249.0,90.21,98.62,97.9,4.85,Top
17107,2021-03-06 15:17:00,2021-11-06 14:14:00,6,244,54,10815.43,2571.0,3552.5,4248.0,59.48,81.85,97.88,4.37,High value
13340,2021-03-08 11:39:00,2021-10-25 13:15:00,7,231,66,10736.48,2276.5,3709.5,4247.0,52.67,85.47,97.86,4.37,High value
14769,2020-12-17 11:40:00,2021-12-07 10:24:00,9,354,23,10674.75,4156.5,3912.0,4246.0,96.16,90.14,97.83,4.76,Top
17139,2021-02-24 09:32:00,2021-11-24 10:12:00,12,273,36,10668.47,3399.5,4077.0,4245.0,78.65,93.94,97.81,4.69,Top
16779,2020-12-08 09:56:00,2021-12-07 14:54:00,22,364,23,10629.72,4156.5,4257.5,4244.0,96.16,98.1,97.79,4.88,Top
17865,2020-12-10 14:53:00,2021-11-09 12:08:00,20,333,51,10526.32,2691.0,4238.5,4243.0,62.26,97.66,97.76,4.62,Top
17706,2020-12-08 11:02:00,2021-12-05 13:34:00,17,362,25,10504.49,3970.5,4197.5,4242.0,91.86,96.72,97.74,4.83,Top
15251,2021-04-12 10:38:00,2021-11-30 15:02:00,11,232,30,10484.99,3689.0,4027.5,4241.0,85.34,92.8,97.72,4.72,Top
14062,2020-12-10 15:56:00,2021-11-30 10:04:00,12,354,30,10464.85,3689.0,4077.0,4240.0,85.34,93.94,97.7,4.74,Top
15615,2020-12-15 16:21:00,2021-11-29 14:42:00,23,348,31,10399.74,3615.0,4263.0,4239.0,83.63,98.23,97.67,4.79,Top
15502,2020-12-05 15:40:00,2021-11-24 12:48:00,12,353,36,10384.93,3399.5,4077.0,4238.0,78.65,93.94,97.65,4.68,Top
16180,2021-04-01 10:23:00,2021-08-31 16:28:00,8,152,121,10254.18,1360.5,3828.0,4237.0,31.47,88.2,97.63,4.24,High value
16843,2021-01-16 16:10:00,2021-10-28 09:06:00,16,284,63,10196.57,2357.0,4182.5,4236.0,54.53,96.37,97.6,4.54,Top
12590,2021-05-12 14:46:00,2021-05-12 14:52:00,2,0,232,9864.26,697.5,1910.5,4235.0,16.14,44.02,97.58,3.46,Medium Value
13001,2021-01-17 12:45:00,2021-12-05 14:51:00,13,322,25,9818.82,3970.5,4114.5,4234.0,91.86,94.8,97.56,4.79,Top
13199,2020-12-08 10:51:00,2021-12-06 12:30:00,38,363,24,9817.12,4064.5,4313.0,4233.0,94.03,99.38,97.53,4.88,Top
15078,2020-12-06 12:38:00,2021-12-02 15:41:00,32,361,28,9743.11,3839.5,4301.5,4232.0,88.83,99.11,97.51,4.83,Top
12709,2020-12-08 09:49:00,2021-11-24 15:38:00,15,351,36,9736.52,3399.5,4162.5,4231.0,78.65,95.91,97.49,4.71,Top
13458,2020-12-15 12:05:00,2021-12-02 15:29:00,14,352,28,9646.57,3839.5,4139.0,4230.0,88.83,95.37,97.47,4.78,Top
14733,2020-12-07 11:30:00,2021-11-23 15:39:00,12,351,37,9585.91,3339.0,4077.0,4229.0,77.25,93.94,97.44,4.67,Top
16523,2021-01-28 12:06:00,2021-12-08 09:06:00,21,313,22,9418.47,4253.0,4249.5,4228.0,98.39,97.91,97.42,4.89,Top
12567,2020-12-05 11:57:00,2021-11-17 11:02:00,10,346,43,9401.28,3037.5,3974.5,4227.0,70.27,91.58,97.4,4.58,Top
14367,2021-03-08 14:12:00,2021-12-01 13:19:00,16,267,29,9261.52,3764.0,4182.5,4226.0,87.08,96.37,97.37,4.78,Top
14667,2020-12-06 13:13:00,2021-11-29 11:30:00,25,357,31,9241.2,3615.0,4272.5,4225.0,83.63,98.44,97.35,4.78,Top
18092,2020-12-09 10:00:00,2021-12-07 13:14:00,11,363,23,9068.26,4156.5,4027.5,4224.0,96.16,92.8,97.33,4.79,Top
13969,2020-12-09 19:32:00,2021-12-02 15:11:00,18,357,28,9053.94,3839.5,4213.5,4223.0,88.83,97.09,97.3,4.8,Top
12451,2021-01-19 09:05:00,2021-11-29 08:40:00,5,313,31,9035.52,3615.0,3344.0,4222.0,83.63,77.05,97.28,4.46,High value
13488,2020-12-07 13:01:00,2021-11-22 14:41:00,13,350,38,8968.31,3272.5,4114.5,4221.0,75.71,94.8,97.26,4.66,Top
13090,2020-12-02 07:48:00,2021-12-01 12:39:00,14,364,29,8910.82,3764.0,4139.0,4220.0,87.08,95.37,97.24,4.76,Top
16033,2020-12-05 10:36:00,2021-12-04 12:44:00,20,364,26,8816.4,3899.5,4238.5,4219.0,90.21,97.66,97.21,4.81,Top
17017,2020-12-02 10:17:00,2021-12-07 09:32:00,20,369,23,8694.26,4156.5,4238.5,4218.0,96.16,97.66,97.19,4.86,Top
17243,2020-12-05 10:03:00,2021-12-08 13:26:00,26,368,22,8676.85,4253.0,4280.0,4217.0,98.39,98.62,97.17,4.89,Top
17306,2020-12-21 13:34:00,2021-11-29 12:14:00,19,342,31,8631.31,3615.0,4226.5,4216.0,83.63,97.38,97.14,4.76,Top
16656,2020-12-10 11:23:00,2021-11-17 14:43:00,15,342,43,8625.8,3037.5,4162.5,4215.0,70.27,95.91,97.12,4.64,Top
14527,2020-12-05 13:17:00,2021-12-07 12:19:00,55,366,23,8508.82,4156.5,4326.5,4214.0,96.16,99.69,97.1,4.89,Top
12683,2020-12-09 10:37:00,2021-12-05 16:31:00,15,361,25,8476.57,3970.5,4162.5,4213.0,91.86,95.91,97.07,4.8,Top
18139,2021-11-21 14:06:00,2021-11-22 10:44:00,6,0,38,8438.34,3272.5,3552.5,4212.0,75.71,81.85,97.05,4.46,High value
15358,2020-12-09 10:04:00,2021-12-05 09:04:00,22,360,25,8347.2,3970.5,4257.5,4211.0,91.86,98.1,97.03,4.83,Top
16558,2020-12-08 12:01:00,2021-12-09 10:20:00,20,365,21,8338.49,4322.5,4238.5,4210.0,100.0,97.66,97.0,4.88,Top
14056,2021-02-28 15:19:00,2021-12-08 13:36:00,23,282,22,8214.65,4253.0,4263.0,4209.0,98.39,98.23,96.98,4.88,Top
14936,2021-03-09 11:53:00,2021-11-06 10:30:00,8,241,54,8137.02,2571.0,3828.0,4208.0,59.48,88.2,96.96,4.44,High value
16672,2021-03-18 10:15:00,2021-12-07 16:29:00,20,264,23,8134.94,4156.5,4238.5,4207.0,96.16,97.66,96.94,4.85,Top
13854,2020-12-09 10:48:00,2021-12-01 09:06:00,25,356,29,8109.52,3764.0,4272.5,4206.0,87.08,98.44,96.91,4.79,Top
14952,2020-12-10 12:48:00,2021-10-11 10:33:00,11,304,80,8099.49,1973.0,4027.5,4205.0,45.64,92.8,96.89,4.4,High value
18109,2020-12-05 10:58:00,2021-12-08 11:36:00,26,368,22,8052.97,4253.0,4280.0,4204.0,98.39,98.62,96.87,4.88,Top
14796,2020-12-08 10:40:00,2021-12-08 15:31:00,17,365,22,8022.49,4253.0,4197.5,4203.0,98.39,96.72,96.84,4.85,Top
12428,2021-03-01 09:33:00,2021-11-14 08:22:00,9,257,46,7956.46,2874.5,3912.0,4202.0,66.5,90.14,96.82,4.51,Top
15290,2020-12-15 16:03:00,2021-12-05 11:39:00,18,354,25,7943.22,3970.5,4213.5,4201.0,91.86,97.09,96.8,4.81,Top
14849,2020-12-01 12:22:00,2021-11-18 10:58:00,25,351,42,7930.54,3096.5,4272.5,4200.0,71.64,98.44,96.77,4.68,Top
12757,2021-05-12 19:01:00,2021-11-24 12:30:00,13,195,36,7857.1,3399.5,4114.5,4199.0,78.65,94.8,96.75,4.67,Top
17811,2021-01-10 10:58:00,2021-12-05 13:46:00,39,329,25,7837.73,3970.5,4315.5,4198.0,91.86,99.44,96.73,4.84,Top
13093,2020-12-01 15:00:00,2021-03-09 12:14:00,8,97,296,7832.47,367.5,3828.0,4197.0,8.5,88.2,96.71,4.05,High value
12435,2021-03-17 07:40:00,2021-09-21 09:06:00,2,188,100,7829.89,1580.0,1910.5,4196.0,36.55,44.02,96.68,3.59,Medium Value
13629,2021-01-05 12:09:00,2021-11-16 13:21:00,11,315,44,7792.36,2976.5,4027.5,4195.0,68.86,92.8,96.66,4.57,Top
15044,2020-12-12 14:27:00,2021-11-20 13:20:00,17,342,40,7700.23,3153.5,4197.5,4194.0,72.96,96.72,96.64,4.66,Top
15194,2020-12-06 15:00:00,2021-12-06 15:10:00,15,365,24,7616.53,4064.5,4162.5,4193.0,94.03,95.91,96.61,4.8,Top
18172,2021-02-23 10:44:00,2021-11-25 11:12:00,20,275,35,7561.68,3451.0,4238.5,4192.0,79.84,97.66,96.59,4.72,Top
13263,2021-01-18 16:31:00,2021-12-08 13:59:00,35,323,22,7454.07,4253.0,4309.0,4191.0,98.39,99.29,96.57,4.88,Top
12474,2021-01-14 10:06:00,2021-11-22 14:39:00,18,312,38,7375.79,3272.5,4213.5,4190.0,75.71,97.09,96.54,4.68,Top
12980,2020-12-16 11:36:00,2021-07-05 09:34:00,9,200,178,7374.9,995.0,3912.0,4189.0,23.02,90.14,96.52,4.18,High value
15465,2020-12-05 10:12:00,2021-11-20 10:11:00,18,349,40,7354.62,3153.5,4213.5,4188.0,72.96,97.09,96.5,4.66,Top
17396,2020-12-03 09:45:00,2021-10-31 14:12:00,8,332,60,7330.8,2418.0,3828.0,4187.0,55.94,88.2,96.47,4.4,High value
12583,2020-12-01 08:45:00,2021-12-07 08:07:00,15,370,23,7281.38,4156.5,4162.5,4186.0,96.16,95.91,96.45,4.81,Top
13018,2021-02-17 11:05:00,2021-11-23 13:28:00,28,279,37,7277.7,3339.0,4289.0,4185.0,77.25,98.82,96.43,4.71,Top
18229,2020-12-01 16:25:00,2021-11-28 09:48:00,20,361,32,7276.9,3545.0,4238.5,4184.0,82.01,97.66,96.41,4.73,Top
16923,2020-12-12 11:06:00,2021-11-27 13:00:00,19,350,33,7247.61,3492.5,4226.5,4183.0,80.8,97.38,96.38,4.72,Top
16729,2021-04-12 14:22:00,2021-11-01 14:29:00,21,203,59,7239.92,2443.0,4249.5,4182.0,56.52,97.91,96.36,4.54,Top
16745,2021-02-01 11:31:00,2021-09-14 11:58:00,17,225,107,7194.3,1496.5,4197.5,4181.0,34.62,96.72,96.34,4.36,High value
16873,2020-12-10 15:45:00,2021-12-05 12:05:00,6,359,25,7123.62,3970.5,3552.5,4180.0,91.86,81.85,96.31,4.57,Top
13324,2020-12-14 09:50:00,2021-11-03 16:28:00,10,324,57,7121.95,2502.5,3974.5,4179.0,57.89,91.58,96.29,4.46,High value
13985,2021-03-20 13:48:00,2021-12-05 17:06:00,15,260,25,7060.13,3970.5,4162.5,4178.0,91.86,95.91,96.27,4.77,Top
14961,2020-12-14 11:38:00,2021-11-29 09:42:00,9,349,31,7044.68,3615.0,3912.0,4177.0,83.63,90.14,96.24,4.63,Top
12766,2020-12-08 13:53:00,2021-12-06 08:46:00,7,362,24,6989.63,4064.5,3709.5,4176.0,94.03,85.47,96.22,4.63,Top
12798,2021-06-22 10:11:00,2021-11-29 15:52:00,3,160,31,6977.04,3615.0,2581.5,4175.0,83.63,59.48,96.2,4.16,High value
12989,2020-12-10 13:24:00,2021-12-06 15:28:00,15,361,24,6924.11,4064.5,4162.5,4174.0,94.03,95.91,96.18,4.79,Top
16713,2020-12-08 13:01:00,2021-11-21 12:36:00,15,347,39,6923.13,3209.5,4162.5,4173.0,74.25,95.91,96.15,4.64,Top
13027,2020-12-20 12:45:00,2021-08-18 09:39:00,6,240,134,6912.0,1267.5,3552.5,4172.0,29.32,81.85,96.13,4.09,High value
16187,2021-02-28 13:34:00,2021-11-08 09:50:00,15,252,52,6911.44,2648.0,4162.5,4171.0,61.26,95.91,96.11,4.54,Top
17416,2021-03-03 13:45:00,2021-11-10 12:47:00,7,251,50,6893.42,2739.0,3709.5,4170.0,63.37,85.47,96.08,4.4,High value
12705,2020-12-17 15:58:00,2021-11-24 13:17:00,9,341,36,6868.29,3399.5,3912.0,4169.0,78.65,90.14,96.06,4.58,Top
12476,2020-12-13 14:39:00,2021-11-24 12:40:00,11,345,36,6816.42,3399.5,4027.5,4168.0,78.65,92.8,96.04,4.62,Top
12830,2021-06-21 10:53:00,2021-11-02 11:54:00,6,134,58,6814.64,2470.0,3552.5,4167.0,57.14,81.85,96.01,4.3,High value
15023,2020-12-05 13:49:00,2021-12-06 17:23:00,11,366,24,6802.76,4064.5,4027.5,4166.0,94.03,92.8,95.99,4.74,Top
18055,2020-12-05 10:52:00,2021-12-02 14:25:00,10,362,28,6784.19,3839.5,3974.5,4165.0,88.83,91.58,95.97,4.68,Top
15601,2020-12-02 10:39:00,2021-11-28 15:15:00,14,361,32,6776.56,3545.0,4139.0,4164.0,82.01,95.37,95.94,4.68,Top
16652,2021-03-11 13:13:00,2021-10-12 09:38:00,7,214,79,6773.97,1997.5,3709.5,4163.0,46.21,85.47,95.92,4.27,High value
16532,2021-01-05 12:37:00,2021-11-22 11:08:00,3,320,38,6748.8,3272.5,2581.5,4162.0,75.71,59.48,95.9,4.1,High value
13576,2020-12-01 17:24:00,2021-11-29 15:34:00,18,362,31,6717.34,3615.0,4213.5,4161.0,83.63,97.09,95.88,4.72,Top
16746,2020-12-16 11:43:00,2021-12-05 12:33:00,18,354,25,6697.66,3970.5,4213.5,4160.0,91.86,97.09,95.85,4.78,Top
15249,2021-03-28 12:49:00,2021-11-08 11:45:00,13,224,52,6688.46,2648.0,4114.5,4159.0,61.26,94.8,95.83,4.52,Top
16353,2020-12-05 12:09:00,2021-12-06 12:23:00,23,366,24,6675.71,4064.5,4263.0,4158.0,94.03,98.23,95.81,4.81,Top
17338,2020-12-13 12:57:00,2021-11-22 14:23:00,8,344,38,6643.93,3272.5,3828.0,4157.0,75.71,88.2,95.78,4.52,Top
12626,2021-01-17 11:01:00,2021-11-16 16:06:00,9,303,44,6620.48,2976.5,3912.0,4156.0,68.86,90.14,95.76,4.5,High value
16182,2021-02-18 10:11:00,2021-09-28 13:23:00,4,222,93,6617.65,1714.5,3028.0,4155.0,39.66,69.77,95.74,3.98,Medium Value
